8700 Exchange(comparisons):, 128763,137797,127808,128065,122997,124871,128502,124251,127007,135556,127235,125900,141481,126283,136050,126128,127445,136850,124137,141099,
8800 Exchange(comparisons):, 128956,126186,127190,125098,130097,127681,130672,127816,124461,128433,133882,128995,141952,128922,134631,130078,118253,129636,132829,129526,
8900 Exchange(comparisons):, 123886,129441,130123,126312,131276,121673,120045,125090,125325,131851,123803,123090,131046,129106,128609,127579,133632,124959,125905,125985,
9000 Exchange(comparisons):, 138405,132407,128369,129873,127067,120084,119958,135517,121672,125222,123018,133573,123084,136543,135979,126960,123860,139494,125149,119404,
9100 Exchange(comparisons):, 125445,132394,128299,119398,126514,134375,130678,127635,120669,129560,132973,130695,127445,121966,145198,127575,124927,125331,127344,123087,
9200 Exchange(comparisons):, 118929,134819,134958,148429,125323,124573,132457,128302,127147,123311,136603,128189,139769,135636,127663,125379,126713,122618,134632,126937,
9300 Exchange(comparisons):, 125288,134724,123032,141367,138918,142402,136580,122417,124221,126461,123619,144147,138250,130233,134865,129295,134208,131940,132038,123487,
9400 Exchange(comparisons):, 132641,139213,129094,144617,135638,130556,139278,134663,131462,142989,124241,123206,146036,128710,135755,131571,129858,126158,124865,123637,
9500 Exchange(comparisons):, 131699,125064,125977,121392,130301,121851,133269,133376,133960,124429,130600,135860,118803,130876,129590,129204,131611,127164,124003,131653,
9600 Exchange(comparisons):, 119333,133398,124803,131609,133099,130669,123944,127156,132826,129703,125159,121304,122855,132251,128587,124077,139235,130997,130174,127291,
9700 Exchange(comparisons):, 137591,123691,138767,137859,133582,128217,135669,127767,131683,134448,130350,128637,126355,130083,133974,125050,129985,137324,135264,117942,
9800 Exchange(comparisons):, 132332,129613,127838,122286,129640,122241,126221,131931,127344,142050,126400,124525,124817,125133,128034,130487,127151,122366,122499,133866,
9900 Exchange(comparisons):, 122583,126983,122350,122001,133745,126936,128036,126969,127849,136669,131453,130206,123986,135064,129818,126442,127774,119000,142655,126234,
Random Order:, 115271,119931,116822,116176,110889,121948,123730,113853,118324,112724,112270,116155,123281,110961,127316,112206,125823,120312,112498,111569,
Reverse Sorted List (ms):, 119497,108569,115917,129577,126361,111889,115521,117475,132788,115270,126966,135152,127955,113351,126858,118581,127538,108324,121148,131363,
